Year,CBPF Name,Total Allocation,Allocation (INGO),Allocation (NNGO),Allocation (Red Cross),Allocation (UN),Reserve Allocation (INGO),Reserve Allocation (NNGO),Reserve Allocation (Red Cross),Reserve Allocation (UN),Standard Allocation (INGO),Standard Allocation (NNGO),Standard Allocation (Red Cross),Standard Allocation (UN),Total Reserve Allocation,Total Standard Allocation,Total Under Approval Allocation,Under Approval Allocation (INGO),Under Approval Allocation (NNGO),Under Approval Allocation (Red),Under Approval Allocation (UN)
2020,"Ethiopia",57478521.56,35905497.97,8511124.29,0,13061899.3,8719108.3,1280891.61,0,3498845.15,27186389.67,7230232.68,0,9563054.15,13498845.06,43979676.5,0,0,0,0,0
2020,"Iraq",27594112.58,19808759.59,6937196.24,0,848156.75,6956831.98,840073.3,0,0,12851927.61,6097122.94,0,848156.75,7796905.28,19797207.3,0,0,0,0,0
2020,"Jordan",8334514.42,4155507.19,3450567.86,300002.59,428436.78,550879.96,614807.56,0,128436.78,3604627.23,2835760.3,300002.59,300000,1294124.3,7040390.12,0,0,0,0,0
2020,"Lebanon",16210106.03,10323577.34,5770799.81,85731,29997.88,4443655.04,1061155.66,0,0,5879922.3,4709644.15,85731,29997.88,5504810.7,10705295.33,0,0,0,0,0
2020,"Myanmar",16544732.78,7792820.97,7012186.4,0,1739725.41,1465965.84,1248560.41,0,1066793.56,6326855.13,5763625.99,0,672931.85,3781319.81,12763412.97,0,0,0,0,0
2020,"Nigeria",23358102.5,9081965.29,5162050.69,0,9114086.52,0,0,0,1113049.82,9081965.29,5162050.69,0,8001036.7,1113049.82,22245052.68,0,0,0,0,0
2020,"oPt",36189901.76,14393627.1,11239151.12,52105.37,10505018.17,2725761.21,1418752.44,0,5250385.25,11667865.89,9820398.68,52105.37,5254632.92,9394898.9,26795002.86,0,0,0,0,0
2020,"Pakistan",9681444.56,1756680.87,7524957.75,0,399805.94,775404.97,4206233.09,0,399805.94,981275.9,3318724.66,0,0,5381444,4300000.56,0,0,0,0,0
2020,"Somalia",36556082.52,12010246.04,19972374.95,0,4573461.53,2498955.31,7575350.87,0,4573461.53,9511290.73,12397024.08,0,0,14647767.71,21908314.81,0,0,0,0,0
2020,"South Sudan",62382675.09,26588825.9,20642069.29,0,15151779.9,10256404.23,5218806.51,0,12199499.25,16332421.67,15423262.78,0,2952280.65,27674709.99,34707965.1,0,0,0,0,0
