Year,CBPF Name,Total Allocation,Allocation (INGO),Allocation (NNGO),Allocation (Red Cross),Allocation (UN),Reserve Allocation (INGO),Reserve Allocation (NNGO),Reserve Allocation (Red Cross),Reserve Allocation (UN),Standard Allocation (INGO),Standard Allocation (NNGO),Standard Allocation (Red Cross),Standard Allocation (UN),Total Reserve Allocation,Total Standard Allocation,Total Under Approval Allocation,Under Approval Allocation (INGO),Under Approval Allocation (NNGO),Under Approval Allocation (Red),Under Approval Allocation (UN)
2024,"Syria Cross border",69311090.32,16667956.55,48432159.89,1058822.98,3152150.9,6275021.82,20403744.98,0,2120938.78,10392934.73,28028414.91,1058822.98,1031212.12,28799705.58,40511384.74,0,0,0,0,0
2024,"Ukraine",164338871.75,63143920.14,96102565.86,92690,4999695.75,34256295.62,48908973.91,0,4999695.75,28887624.52,47193591.95,92690,0,88164965.28,76173906.47,0,0,0,0,0
2024,"Venezuela",12613729.78,3174980.99,8438748.79,1000000,0,1324609.03,2757312.9,1000000,0,1850371.96,5681435.89,0,0,5081921.93,7531807.85,0,0,0,0,0
2024,"Yemen",37084897.52,8650945.35,26233477.13,0,2200475.04,2630247.41,2806097.47,0,1500000,6020697.94,23427379.66,0,700475.04,6936344.88,30148552.64,0,0,0,0,0
2023,"Afghanistan",134957920.4,28742944.05,28192585.42,0,78022390.93,1873628.09,13497863.32,0,11170361.39,26869315.96,14694722.1,0,66852029.54,26541852.8,108416067.6,0,0,0,0,0
2023,"Burkina Faso (RhPF-WCA)",20032043.22,12289226.92,6908125.3,834691,0,0,0,0,0,12289226.92,6908125.3,834691,0,0,20032043.22,0,0,0,0,0
2023,"CAR",15797063.92,9141323.16,4056667.08,0,2599073.68,300000.23,0,0,2499073.68,8841322.93,4056667.08,0,100000,2799073.91,12997990.01,0,0,0,0,0
2023,"DRC",42981475.66,15061873.02,26652706.64,400000,866896,15061873.02,26652706.64,400000,866896,0,0,0,0,42981475.66,0,0,0,0,0,0
2023,"Ethiopia",59982606.78,31899056.37,27133812.41,700000,249738,12787772.58,11245181.09,700000,249738,19111283.79,15888631.32,0,0,24982691.67,34999915.11,0,0,0,0,0
2023,"Lebanon",26686329.11,13128449.38,13557879.73,0,0,5504809.67,4544708.39,0,0,7623639.71,9013171.34,0,0,10049518.06,16636811.05,0,0,0,0,0
2023,"Mali (RhPF-WCA)",5347230.34,3781122,1566108.34,0,0,0,0,0,0,3781122,1566108.34,0,0,0,5347230.34,0,0,0,0,0
2023,"Myanmar",35639378.82,11080976.05,20780299.08,0,3778103.69,2020971,2750607.45,0,3375080.62,9060005.05,18029691.63,0,403023.07,8146659.07,27492719.75,0,0,0,0,0
2023,"Niger (RhPF-WCA)",10993493,6756795.65,4236697.35,0,0,0,0,0,0,6756795.65,4236697.35,0,0,0,10993493,0,0,0,0,0
2023,"Nigeria",23973602.54,8628636.32,14198697.36,0,1146268.86,6781471.29,4194736.53,0,0,1847165.03,10003960.83,0,1146268.86,10976207.82,12997394.72,0,0,0,0,0
2023,"oPt",87674576.38,44239527.77,21193159.91,0,22241888.7,34916160.3,12059907.39,0,20438844.47,9323367.47,9133252.52,0,1803044.23,67414912.16,20259664.22,0,0,0,0,0
2023,"Somalia",56628902.28,13805379.31,39298015.85,0,3525507.12,7839640.77,20651489.29,0,3525507.12,5965738.54,18646526.56,0,0,32016637.18,24612265.1,0,0,0,0,0
2023,"South Sudan",55600285.76,17566867.55,5667045.35,0,32366372.86,17566867.55,5667045.35,0,32366372.86,0,0,0,0,55600285.76,0,0,0,0,0,0
2023,"Sudan",81211049.33,58159362.4,14956641.31,513665,7581380.62,58159362.4,14956641.31,513665,7581380.62,0,0,0,0,81211049.33,0,0,0,0,0,0
2023,"Syria",62485132.46,30687710.11,16465232,375882,14956308.35,12287124.96,8991754.55,226557,9884032.52,18400585.15,7473477.45,149325,5072275.83,31389469.03,31095663.43,0,0,0,0,0
2023,"Syria Cross border",140187123.02,30435333.36,90581868.6,675849.45,18494071.61,23289270.37,67097432.96,101217.13,18094176.45,7146062.99,23484435.64,574632.32,399895.16,108582096.91,31605026.11,0,0,0,0,0
2023,"Ukraine",183672269.28,89999596.45,61201611.95,0,32471060.88,57555274.94,22538910.72,0,32471060.88,32444321.51,38662701.23,0,0,112565246.54,71107022.74,0,0,0,0,0
2023,"Venezuela",12163016.5,2150156.94,10012859.56,0,0,0,0,0,0,2150156.94,10012859.56,0,0,0,12163016.5,0,0,0,0,0
2023,"Yemen",85897174.57,19720774.02,39859561.99,2122070.36,24194768.2,8006701.47,18890805.55,122145,19200632.05,11714072.55,20968756.44,1999925.36,4994136.15,46220284.07,39676890.5,0,0,0,0,0
2022,"Afghanistan",282670724.47,84258131.14,70032757.03,0,128379836.3,52429023.05,37154154.46,0,76867225.72,31829108.09,32878602.57,0,51512610.58,166450403.23,116220321.24,0,0,0,0,0
2022,"Burkina Faso (RhPF-WCA)",29449688.4,19952047.38,8875555.28,622085.74,0,5966675.36,3533045.46,0,0,13985372.02,5342509.82,622085.74,0,9499720.82,19949967.58,0,0,0,0,0
2022,"CAR",29493646.31,20616048.44,2878003.1,0,5999594.77,7472556.31,1611009.64,0,3312234.51,13143492.13,1266993.46,0,2687360.26,12395800.46,17097845.85,0,0,0,0,0
2022,"DRC",38434815.36,13961642.88,21031895.24,599999.29,2841277.95,4676717.33,4146429.29,599999.29,576852.54,9284925.55,16885465.95,0,2264425.41,9999998.45,28434816.91,0,0,0,0,0
2022,"Ethiopia",63908474.3,36946218.41,24774732.17,0,2187523.72,12019162.2,9820273.93,0,2187523.72,24927056.21,14954458.24,0,0,24026959.85,39881514.45,0,0,0,0,0
2022,"Iraq",8386519.22,5062973.13,3323546.09,0,0,0,0,0,0,5062973.13,3323546.09,0,0,0,8386519.22,0,0,0,0,0
2022,"Jordan",400000.02,0,0,400000.02,0,0,0,400000.02,0,0,0,0,0,400000.02,0,0,0,0,0,0
2022,"Lebanon",28340770.36,19784671.81,7866307.34,0,689791.21,8464257.84,3182992.54,0,689791.21,11320413.97,4683314.8,0,0,12337041.59,16003728.77,0,0,0,0,0
2022,"Myanmar",24695346.51,9364178.03,15122995.73,0,208172.75,4597718.75,7206755.13,0,116371.83,4766459.28,7916240.6,0,91800.92,11920845.71,12774500.8,0,0,0,0,0
2022,"Niger (RhPF-WCA)",8999635.84,5673924.98,3325710.86,0,0,5673924.98,3325710.86,0,0,0,0,0,0,8999635.84,0,0,0,0,0,0
2022,"Nigeria",24710819.97,9144469.97,10886002.16,0,4680347.84,5685765.95,3706972.37,0,2606633.69,3458704.02,7179029.79,0,2073714.15,11999372.01,12711447.96,0,0,0,0,0
2022,"oPt",21390715.94,11404652.49,8573165.91,0,1412897.54,906859.09,0,0,380449.2,10497793.4,8573165.91,0,1032448.34,1287308.29,20103407.65,0,0,0,0,0
2022,"Somalia",71029813.32,25504864.63,43265627.74,0,2259320.95,18462330.56,27365716.06,0,500000,7042534.07,15899911.68,0,1759320.95,46328046.62,24701766.7,0,0,0,0,0
2022,"South Sudan",49484152.5,14990813.28,8556658.26,0,25936680.96,4218818.72,1284867.51,0,19249160.21,10771994.56,7271790.75,0,6687520.75,24752846.44,24731306.06,0,0,0,0,0
2022,"Sudan",65576233.53,49752001.15,11191837.82,0,4632394.56,26259560.95,5965696.04,0,4369994.56,23492440.2,5226141.78,0,262400,36595251.55,28980981.98,0,0,0,0,0
2022,"Syria",46030213.83,25222604.42,7736115.31,297314.82,12774179.28,4633066.13,814102.9,297314.82,6097599.23,20589538.29,6922012.41,0,6676580.05,11842083.08,34188130.75,0,0,0,0,0
